orderId,orderType,user,store,partner,buy,sell,Payment Mode,status,charge,extraCharges,Date,Day,Hour
16118,0,5592,143,3710,320,320,Cash,Delivered,20,0,"Friday, 31 March, 2023",FRI,8
15124,1,1817,182,3710,30,30,Cash,Delivered,13,10,"Friday, 24 March, 2023",FRI,12
15123,1,1817,137,3710,230,230,Cash,Delivered,13,0,"Friday, 24 March, 2023",FRI,12
15264,0,3464,143,3710,250,250,Cash,Delivered,25,0,"Saturday, 25 March, 2023",SAT,9
15568,0,5091,182,227,1849,1849,Cash,Delivered,40,10,"Monday, 27 March, 2023",MON,8
15692,0,247,197,3878,,,,Cancelled,0,0,"Tuesday, 28 March, 2023",TUE,5
15824,0,1062,135,289,45,45,Cash,Delivered,25,0,"Wednesday, 29 March, 2023",WED,3
12634,0,1900,152,3710,140,140,Online,Delivered,20,5,"Wednesday, 8 March, 2023",WED,5
16261,0,1768,139,4739,150,150,Cash,Delivered,20,0,"Saturday, 1 April, 2023",SAT,8
16526,0,789,208,3878,,,,Cancelled,0,0,"Sunday, 2 April, 2023",SUN,14
16650,0,3149,138,4989,55,55,Cash,Delivered,25,0,"Tuesday, 4 April, 2023",TUE,6
16757,0,2787,8,227,170,170,Cash,Delivered,25,0,"Tuesday, 4 April, 2023",TUE,16
10400,0,2703,159,4989,760,760,Cash,Delivered,25,10,"Sunday, 19 February, 2023",SUN,8
10313,0,1350,134,4270,80,80,Cash,Delivered,25,0,"Saturday, 18 February, 2023",SAT,15
16867,0,1987,158,5597,60,60,Cash,Delivered,25,5,"Wednesday, 5 April, 2023",WED,13
9916,0,2752,143,227,100,100,Cash,Delivered,25,0,"Wednesday, 15 February, 2023",WED,14
10213,0,4245,152,289,60,60,Cash,Delivered,35,5,"Saturday, 18 February, 2023",SAT,5
10018,0,1346,197,551,597,597,Cash,Delivered,25,10,"Thursday, 16 February, 2023",THU,9
10119,0,1908,152,551,80,80,Cash,Delivered,25,5,"Friday, 17 February, 2023",FRI,8
10490,0,1914,152,4739,96,96,Cash,Delivered,45,5,"Monday, 20 February, 2023",MON,3
10582,0,5305,136,4739,192,192,Cash,Delivered,20,0,"Monday, 20 February, 2023",MON,15
10670,1,3585,138,4739,225,225,Cash,Delivered,15,5,"Tuesday, 21 February, 2023",TUE,13
10749,0,2183,142,4739,380,380,Cash,Delivered,20,0,"Wednesday, 22 February, 2023",WED,7
10832,0,3689,152,3878,,,,Cancelled,0,0,"Wednesday, 22 February, 2023",WED,16
10951,0,4115,158,4989,80,80,Cash,Delivered,25,10,"Thursday, 23 February, 2023",THU,16
16976,0,6041,142,4989,380,380,Cash,Delivered,40,0,"Thursday, 6 April, 2023",THU,7
11019,0,958,152,4053,102,102,Cash,Delivered,25,5,"Friday, 24 February, 2023",FRI,13
17074,1,6210,143,227,390,390,Cash,Delivered,25,0,"Thursday, 6 April, 2023",THU,14
26010,0,4189,152,227,270,270,Cash,Delivered,20,5,"Saturday, 3 June, 2023",SAT,7
12995,0,4387,182,227,65,65,Cash,Delivered,20,10,"Friday, 10 March, 2023",FRI,11
13129,0,5145,138,4989,315,315,Cash,Delivered,20,0,"Saturday, 11 March, 2023",SAT,7
12867,0,2116,192,289,24,24,Cash,Delivered,20,10,"Thursday, 9 March, 2023",THU,13
13525,0,4029,139,4739,144,144,Cash,Delivered,40,0,"Monday, 13 March, 2023",MON,13
13260,0,101,139,4053,48,48,Cash,Delivered,20,0,"Saturday, 11 March, 2023",SAT,16
12747,1,3722,137,834,90,90,Cash,Delivered,14,0,"Wednesday, 8 March, 2023",WED,14
12746,1,3722,197,834,348,348,Cash,Delivered,14,0,"Wednesday, 8 March, 2023",WED,14
12748,1,3722,206,834,50,50,Cash,Delivered,14,10,"Wednesday, 8 March, 2023",WED,14
13385,0,3489,171,3489,3600,3600,Cash,Delivered,200,0,"Sunday, 12 March, 2023",SUN,9
13674,0,1067,152,3710,91,91,Cash,Delivered,20,5,"Tuesday, 14 March, 2023",TUE,14
13686,0,3789,143,4133,310,310,Cash,Delivered,25,0,"Tuesday, 14 March, 2023",TUE,14
13854,0,911,134,4053,220,220,Cash,Delivered,30,5,"Wednesday, 15 March, 2023",WED,14
13839,0,5305,136,4133,245,245,Cash,Delivered,20,0,"Wednesday, 15 March, 2023",WED,14
12635,0,171,168,227,0,0,Online,Delivered,160,20,"Wednesday, 8 March, 2023",WED,5
13993,1,36,135,4133,90,90,Cash,Delivered,30,0,"Thursday, 16 March, 2023",THU,13
14017,1,4388,139,3710,120,120,Cash,Delivered,13,5,"Thursday, 16 March, 2023",THU,14
14016,1,4388,152,3710,91,91,Cash,Delivered,13,0,"Thursday, 16 March, 2023",THU,14
15420,1,2920,8,1054,140,140,Cash,Delivered,15,0,"Sunday, 26 March, 2023",SUN,8
14560,0,6000,186,227,84,84,Cash,Delivered,45,10,"Monday, 20 March, 2023",MON,11
14359,1,4657,182,289,40,40,Cash,Delivered,18,10,"Sunday, 19 March, 2023",SUN,2
14358,1,4657,186,289,422,422,Cash,Delivered,18,0,"Sunday, 19 March, 2023",SUN,2
14189,1,2389,137,4989,1610,1610,Cash,Delivered,27,5,"Friday, 17 March, 2023",FRI,15
14160,1,15,171,3710,40,40,Cash,Delivered,5,0,"Friday, 17 March, 2023",FRI,14
14161,1,15,175,3710,60,60,Cash,Delivered,5,10,"Friday, 17 March, 2023",FRI,14
14190,1,2389,139,4989,160,160,Cash,Delivered,27,0,"Friday, 17 March, 2023",FRI,15
15975,0,5905,196,4989,380,380,Cash,Delivered,20,0,"Thursday, 30 March, 2023",THU,6
15125,0,1019,197,4739,70,70,Cash,Delivered,25,10,"Friday, 24 March, 2023",FRI,13
14830,0,4299,143,4739,260,260,Cash,Delivered,35,0,"Wednesday, 22 March, 2023",WED,7
14508,0,5989,135,4739,92,92,Cash,Delivered,20,0,"Monday, 20 March, 2023",MON,4
14712,0,6017,6,227,299,299,Cash,Delivered,0,0,"Tuesday, 21 March, 2023",TUE,10
14335,1,2920,135,4989,305,305,Cash,Delivered,15,0,"Saturday, 18 March, 2023",SAT,15
14336,1,2920,134,4989,60,60,Cash,Delivered,15,5,"Saturday, 18 March, 2023",SAT,15
15569,0,2856,203,3878,,,,Cancelled,0,0,"Monday, 27 March, 2023",MON,9
16868,1,507,134,4989,120,120,Cash,Delivered,25,0,"Wednesday, 5 April, 2023",WED,13
14970,0,2331,197,1054,467,467,Cash,Delivered,40,10,"Thursday, 23 March, 2023",THU,11
15270,0,791,142,227,220,220,Cash,Delivered,40,0,"Saturday, 25 March, 2023",SAT,9
16651,0,163,158,6133,110,110,Cash,Delivered,20,10,"Tuesday, 4 April, 2023",TUE,6
16527,0,789,197,4053,130,130,Online,Delivered,25,10,"Sunday, 2 April, 2023",SUN,14
16119,0,380,152,4739,110,110,Cash,Delivered,20,0,"Friday, 31 March, 2023",FRI,8
15693,0,3327,208,3710,200,200,Online,Delivered,0,0,"Tuesday, 28 March, 2023",TUE,5
15421,1,2920,138,1054,125,125,Cash,Delivered,15,10,"Sunday, 26 March, 2023",SUN,8
15828,0,979,179,4989,700,700,Cash,Delivered,50,50,"Wednesday, 29 March, 2023",WED,4
16400,0,5099,182,6133,576,576,Cash,Delivered,50,10,"Sunday, 2 April, 2023",SUN,4
16259,0,6051,143,3710,200,200,Cash,Delivered,20,0,"Saturday, 1 April, 2023",SAT,7
16758,0,2697,138,4739,245,245,Cash,Delivered,20,5,"Tuesday, 4 April, 2023",TUE,16
16869,1,507,137,4989,600,600,Cash,Delivered,25,10,"Wednesday, 5 April, 2023",WED,13
16977,1,5842,152,3710,160,160,Cash,Delivered,12,0,"Thursday, 6 April, 2023",THU,7
16979,1,5842,182,3710,10,10,Cash,Delivered,12,10,"Thursday, 6 April, 2023",THU,7
16978,1,5842,139,3710,120,120,Cash,Delivered,12,0,"Thursday, 6 April, 2023",THU,7
17073,1,6210,134,3878,,,,Cancelled,0,0,"Thursday, 6 April, 2023",THU,14
9915,1,5220,135,289,48,48,Cash,Delivered,13,10,"Wednesday, 15 February, 2023",WED,14
17163,1,1768,142,4989,160,160,Cash,Delivered,13,5,"Friday, 7 April, 2023",FRI,7
9914,1,5220,182,289,100,100,Cash,Delivered,13,0,"Wednesday, 15 February, 2023",WED,14
10020,0,913,143,4270,600,600,Cash,Delivered,25,0,"Thursday, 16 February, 2023",THU,10
10117,0,4469,142,4739,200,200,Cash,Delivered,40,0,"Friday, 17 February, 2023",FRI,7
17162,1,1768,135,4989,110,110,Cash,Delivered,13,0,"Friday, 7 April, 2023",FRI,7
10214,0,28,139,3878,,,,Cancelled,0,0,"Saturday, 18 February, 2023",SAT,5
10401,0,1241,138,289,685,685,Cash,Delivered,20,5,"Sunday, 19 February, 2023",SUN,8
17247,0,2663,135,3710,125,125,Cash,Delivered,25,0,"Friday, 7 April, 2023",FRI,15
10750,0,2232,152,3710,80,80,Cash,Delivered,25,5,"Wednesday, 22 February, 2023",WED,7
31271,0,6521,197,2445,499,499,Cash,Delivered,20,10,"Wednesday, 5 July, 2023",WED,11
12749,0,3710,160,3710,80,80,Cash,Delivered,20,0,"Wednesday, 8 March, 2023",WED,14
12636,0,4678,197,227,458,458,Cash,Delivered,25,10,"Wednesday, 8 March, 2023",WED,5
12868,0,38,139,4989,120,120,Cash,Delivered,25,0,"Thursday, 9 March, 2023",THU,13
12996,0,2672,197,227,174,174,Cash,Delivered,45,10,"Friday, 10 March, 2023",FRI,12
13130,0,486,139,3710,460,460,Cash,Delivered,20,0,"Saturday, 11 March, 2023",SAT,7
13386,0,4859,142,1054,200,200,Cash,Delivered,20,0,"Sunday, 12 March, 2023",SUN,10
13261,0,2750,138,4739,310,310,Cash,Delivered,25,5,"Saturday, 11 March, 2023",SAT,16
13527,0,5904,182,3710,85,85,Cash,Delivered,20,10,"Monday, 13 March, 2023",MON,13
13687,0,5839,134,227,99,99,Cash,Delivered,20,0,"Tuesday, 14 March, 2023",TUE,14
13831,0,4794,149,227,30,30,Cash,Delivered,5,5,"Wednesday, 15 March, 2023",WED,13
13998,0,174,134,227,300,300,Cash,Delivered,20,0,"Thursday, 16 March, 2023",THU,14
13675,0,4170,152,289,218,218,Cash,Delivered,35,5,"Tuesday, 14 March, 2023",TUE,14
14018,0,5741,152,4989,167,167,Cash,Delivered,25,5,"Thursday, 16 March, 2023",THU,14
14191,0,3108,136,3710,130,130,Cash,Delivered,25,0,"Friday, 17 March, 2023",FRI,15
13856,1,5328,152,4739,65,65,Cash,Delivered,25,5,"Wednesday, 15 March, 2023",WED,14
13855,1,5328,139,4739,98,98,Cash,Delivered,25,0,"Wednesday, 15 March, 2023",WED,14
14360,0,5971,138,4739,965,965,Cash,Delivered,20,5,"Sunday, 19 March, 2023",SUN,2
15570,0,2856,135,4989,95,95,Cash,Delivered,25,0,"Monday, 27 March, 2023",MON,9
14162,1,3803,146,289,110,110,Cash,Delivered,15,0,"Friday, 17 March, 2023",FRI,14
14831,0,2256,204,3710,240,240,Cash,Delivered,20,0,"Wednesday, 22 March, 2023",WED,7
14163,1,3803,182,289,40,40,Cash,Delivered,15,10,"Friday, 17 March, 2023",FRI,14
14337,0,4245,135,834,140,140,Cash,Delivered,35,0,"Saturday, 18 March, 2023",SAT,16
14561,0,2396,182,227,225,225,Cash,Delivered,25,10,"Monday, 20 March, 2023",MON,12
14509,0,926,193,4989,160,160,Cash,Delivered,20,10,"Monday, 20 March, 2023",MON,4
16528,0,5960,182,4739,1160,1160,Cash,Delivered,55,10,"Sunday, 2 April, 2023",SUN,14
16401,0,2245,163,3710,50,50,Cash,Delivered,20,5,"Sunday, 2 April, 2023",SUN,4
15126,0,958,152,227,102,102,Cash,Delivered,25,5,"Friday, 24 March, 2023",FRI,13
14713,0,68,197,227,219,219,Cash,Delivered,40,10,"Tuesday, 21 March, 2023",TUE,10
14971,0,5015,172,1054,350,350,Cash,Delivered,25,10,"Thursday, 23 March, 2023",THU,11
16120,0,6116,182,289,2019,2019,Cash,Delivered,25,5,"Friday, 31 March, 2023",FRI,8
17075,0,1908,142,3710,200,200,Cash,Delivered,35,0,"Thursday, 6 April, 2023",THU,14
15271,0,5897,152,1054,80,80,Cash,Delivered,30,5,"Saturday, 25 March, 2023",SAT,10
16870,1,3761,152,4989,130,130,Cash,Delivered,22,0,"Wednesday, 5 April, 2023",WED,13
16262,0,5842,7,289,50,50,Cash,Delivered,20,5,"Saturday, 1 April, 2023",SAT,8
15422,0,6070,138,227,125,125,Cash,Delivered,25,5,"Sunday, 26 March, 2023",SUN,8
15829,0,2862,197,4989,75,75,Cash,Delivered,25,5,"Wednesday, 29 March, 2023",WED,4
15694,0,1831,135,3710,60,60,Online,Delivered,25,0,"Tuesday, 28 March, 2023",TUE,6
12046,0,2951,179,3710,900,900,Online,Delivered,30,40,"Saturday, 4 March, 2023",SAT,4
16871,1,3761,134,4989,330,330,Cash,Delivered,22,5,"Wednesday, 5 April, 2023",WED,13
16652,0,5220,139,6133,410,410,Cash,Delivered,25,0,"Tuesday, 4 April, 2023",TUE,6
16980,0,2337,143,4739,180,180,Cash,Delivered,25,0,"Thursday, 6 April, 2023",THU,7
16759,0,2155,184,6133,200,200,Cash,Delivered,50,10,"Wednesday, 5 April, 2023",WED,2
10019,0,912,149,551,70,70,Cash,Delivered,35,5,"Thursday, 16 February, 2023",THU,10
17164,0,5328,139,5597,400,400,Cash,Delivered,40,0,"Friday, 7 April, 2023",FRI,7
17246,0,5746,138,4739,215,215,Cash,Delivered,40,5,"Friday, 7 April, 2023",FRI,15
17248,0,4137,138,4739,520,520,Cash,Delivered,30,5,"Friday, 7 April, 2023",FRI,15
17315,0,4730,139,227,320,320,Cash,Delivered,40,0,"Saturday, 8 April, 2023",SAT,7
17385,0,475,165,4989,120,120,Cash,Delivered,20,10,"Saturday, 8 April, 2023",SAT,15
17450,0,6041,142,6133,380,380,Cash,Delivered,40,0,"Sunday, 9 April, 2023",SUN,7
10118,0,2405,197,289,119,119,Cash,Delivered,25,0,"Friday, 17 February, 2023",FRI,8
9917,0,1987,158,834,60,60,Cash,Delivered,25,10,"Wednesday, 15 February, 2023",WED,14
10212,0,2245,135,289,45,45,Cash,Delivered,20,0,"Saturday, 18 February, 2023",SAT,4
10402,0,2751,142,551,380,380,Cash,Delivered,20,0,"Sunday, 19 February, 2023",SUN,8
12072,0,4910,143,289,250,250,Cash,Delivered,25,0,"Saturday, 4 March, 2023",SAT,8
10314,0,5604,143,4053,520,520,Online,Delivered,45,0,"Saturday, 18 February, 2023",SAT,15
10583,0,2801,152,3221,26,26,Cash,Delivered,25,5,"Monday, 20 February, 2023",MON,15
10672,0,2750,197,834,499,499,Cash,Delivered,25,10,"Tuesday, 21 February, 2023",TUE,13
10751,0,2232,139,3710,160,160,Cash,Delivered,5,5,"Wednesday, 22 February, 2023",WED,8
17509,0,1198,182,3710,1586,1586,Cash,Delivered,25,10,"Sunday, 9 April, 2023",SUN,12
18379,0,218,197,227,238,238,Cash,Delivered,25,10,"Saturday, 15 April, 2023",SAT,13
12869,0,354,137,1054,840,840,Cash,Delivered,5,0,"Thursday, 9 March, 2023",THU,13
12637,1,1192,142,3710,550,550,Cash,Delivered,15,0,"Wednesday, 8 March, 2023",WED,6
12638,1,1192,135,3710,220,220,Cash,Delivered,15,5,"Wednesday, 8 March, 2023",WED,6
12750,1,659,137,227,750,750,Cash,Delivered,18,0,"Wednesday, 8 March, 2023",WED,14
12751,1,659,204,227,255,255,Cash,Delivered,18,5,"Wednesday, 8 March, 2023",WED,14
12997,0,2373,149,4989,100,100,Cash,Delivered,30,10,"Friday, 10 March, 2023",FRI,12
13131,0,5860,136,4739,200,200,Cash,Delivered,50,0,"Saturday, 11 March, 2023",SAT,7
13387,0,5001,143,1054,280,280,Cash,Delivered,25,0,"Sunday, 12 March, 2023",SUN,10
13262,0,5878,196,4053,580,580,Online,Delivered,25,0,"Saturday, 11 March, 2023",SAT,16
13688,0,4206,134,834,140,140,Cash,Delivered,25,0,"Tuesday, 14 March, 2023",TUE,14
13529,1,3689,182,4133,30,30,Cash,Delivered,13,10,"Monday, 13 March, 2023",MON,13
13528,1,3689,175,4133,75,75,Cash,Delivered,13,0,"Monday, 13 March, 2023",MON,13
13857,0,5405,137,289,90,90,Cash,Delivered,25,5,"Wednesday, 15 March, 2023",WED,14
13995,0,4852,158,3710,160,160,Cash,Delivered,25,10,"Thursday, 16 March, 2023",THU,14
13676,0,5405,209,4989,172,172,Cash,Delivered,20,10,"Tuesday, 14 March, 2023",TUE,14
13841,0,773,139,4989,156,156,Cash,Delivered,20,0,"Wednesday, 15 March, 2023",WED,14
14192,0,232,135,4133,90,90,Cash,Delivered,25,0,"Friday, 17 March, 2023",FRI,15
13999,0,769,172,834,280,280,Cash,Delivered,30,10,"Thursday, 16 March, 2023",THU,14
14019,1,3907,139,3710,200,200,Cash,Delivered,13,0,"Thursday, 16 March, 2023",THU,14
14020,1,3907,152,3710,52,52,Cash,Delivered,13,5,"Thursday, 16 March, 2023",THU,14
14361,0,3108,152,289,100,100,Cash,Delivered,25,5,"Sunday, 19 March, 2023",SUN,3
14562,0,5742,182,227,250,250,Cash,Delivered,25,10,"Monday, 20 March, 2023",MON,12
14510,0,2884,142,4989,240,240,Cash,Delivered,40,0,"Monday, 20 March, 2023",MON,5
14338,1,2373,134,834,110,110,Cash,Delivered,15,0,"Saturday, 18 March, 2023",SAT,16
14165,1,5960,138,4133,170,170,Cash,Delivered,23,5,"Friday, 17 March, 2023",FRI,14
14164,1,5960,143,4133,330,330,Cash,Delivered,23,0,"Friday, 17 March, 2023",FRI,14
14339,1,2373,182,834,45,45,Cash,Delivered,15,10,"Saturday, 18 March, 2023",SAT,16
14832,1,4873,138,4989,425,425,Cash,Delivered,15,0,"Wednesday, 22 March, 2023",WED,7
14833,1,4873,152,4989,110,110,Cash,Delivered,15,5,"Wednesday, 22 March, 2023",WED,7
14714,0,4871,175,3878,,,,Cancelled,0,0,"Tuesday, 21 March, 2023",TUE,10
15127,0,5657,197,3710,298,298,Cash,Delivered,30,10,"Friday, 24 March, 2023",FRI,13
16263,0,6129,142,1054,210,210,Cash,Delivered,25,0,"Saturday, 1 April, 2023",SAT,8
15695,0,247,134,3878,,,,Cancelled,0,0,"Tuesday, 28 March, 2023",TUE,6
15571,1,5922,142,4739,100,100,Cash,Delivered,25,0,"Monday, 27 March, 2023",MON,9
15423,0,6064,197,3710,455,455,Cash,Delivered,30,10,"Sunday, 26 March, 2023",SUN,8
14973,1,1486,173,4739,65,65,Online,Delivered,16,10,"Thursday, 23 March, 2023",THU,11
14972,1,1486,186,4739,125,125,Online,Delivered,16,0,"Thursday, 23 March, 2023",THU,11
15572,1,5922,182,4739,40,40,Cash,Delivered,25,10,"Monday, 27 March, 2023",MON,9
15272,1,3091,208,227,200,200,Online,Delivered,18,0,"Saturday, 25 March, 2023",SAT,11
15273,1,3091,182,227,4,4,Online,Delivered,18,10,"Saturday, 25 March, 2023",SAT,11
16653,0,2487,204,4270,440,440,Cash,Delivered,35,0,"Tuesday, 4 April, 2023",TUE,6
16121,0,3740,196,4739,300,300,Cash,Delivered,20,0,"Friday, 31 March, 2023",FRI,8
15830,0,963,173,3710,220,220,Cash,Delivered,25,0,"Wednesday, 29 March, 2023",WED,4
15976,1,2737,151,289,150,150,Cash,Delivered,15,0,"Thursday, 30 March, 2023",THU,7
15977,1,2737,182,289,32,32,Cash,Delivered,15,10,"Thursday, 30 March, 2023",THU,7
16529,0,4593,8,4739,295,295,Cash,Delivered,0,0,"Sunday, 2 April, 2023",SUN,15
16402,0,3689,135,6133,70,70,Cash,Delivered,20,0,"Sunday, 2 April, 2023",SUN,4
16760,0,1080,158,4739,107,107,Cash,Delivered,25,5,"Wednesday, 5 April, 2023",WED,2
16872,0,586,134,4739,270,270,Cash,Delivered,25,0,"Wednesday, 5 April, 2023",WED,13
16981,0,2672,139,4270,380,380,Cash,Delivered,20,0,"Thursday, 6 April, 2023",THU,7
17076,0,939,209,227,292,292,Cash,Delivered,35,10,"Thursday, 6 April, 2023",THU,14
17161,0,1555,135,3710,90,90,Cash,Delivered,20,0,"Friday, 7 April, 2023",FRI,7
17249,0,5050,139,227,210,210,Cash,Delivered,20,0,"Friday, 7 April, 2023",FRI,15
17313,0,4500,143,4989,330,330,Cash,Delivered,25,0,"Saturday, 8 April, 2023",SAT,7
9918,0,1908,190,4133,160,160,Cash,Delivered,35,10,"Wednesday, 15 February, 2023",WED,14
10022,1,3267,203,4270,135,135,Online,Delivered,0,0,"Thursday, 16 February, 2023",THU,11
25975,0,4041,152,5597,180,180,Cash,Delivered,20,5,"Saturday, 3 June, 2023",SAT,2
10021,1,3267,197,4270,264,264,Online,Delivered,0,0,"Thursday, 16 February, 2023",THU,11
10215,0,380,152,4739,50,50,Cash,Delivered,20,0,"Saturday, 18 February, 2023",SAT,5
10315,1,934,135,289,290,290,Cash,Delivered,15,0,"Saturday, 18 February, 2023",SAT,15
10120,0,1959,182,227,0,0,Online,Delivered,25,0,"Friday, 17 February, 2023",FRI,8
12752,0,4805,139,4133,196,196,Cash,Delivered,20,0,"Wednesday, 8 March, 2023",WED,14
12639,0,2373,195,4989,90,90,Cash,Delivered,30,10,"Wednesday, 8 March, 2023",WED,6
12998,0,2851,197,3710,373,373,Cash,Delivered,25,10,"Friday, 10 March, 2023",FRI,12
13132,0,648,138,227,865,865,Cash,Delivered,20,0,"Saturday, 11 March, 2023",SAT,7
13522,0,3244,136,4989,245,245,Cash,Delivered,30,0,"Monday, 13 March, 2023",MON,13
13677,0,2977,139,4989,192,192,Cash,Delivered,25,0,"Tuesday, 14 March, 2023",TUE,14
12872,0,4387,204,4739,160,160,Cash,Delivered,20,0,"Thursday, 9 March, 2023",THU,13
12871,1,219,197,4133,104,104,Cash,Delivered,15,10,"Thursday, 9 March, 2023",THU,13
12870,1,219,134,4133,310,310,Cash,Delivered,15,0,"Thursday, 9 March, 2023",THU,13
13388,0,5891,143,1054,360,360,Cash,Delivered,20,0,"Sunday, 12 March, 2023",SUN,10
13842,0,5,137,4739,130,130,Cash,Delivered,30,5,"Wednesday, 15 March, 2023",WED,14
13264,1,177,136,227,322,322,Cash,Delivered,23,5,"Saturday, 11 March, 2023",SAT,16
13263,1,177,137,227,220,220,Cash,Delivered,23,0,"Saturday, 11 March, 2023",SAT,16
14000,0,5478,134,3710,380,380,Cash,Delivered,25,0,"Thursday, 16 March, 2023",THU,14
13689,0,1987,136,4053,100,100,Online,Delivered,25,0,"Tuesday, 14 March, 2023",TUE,14
13858,0,3947,136,4053,190,190,Cash,Delivered,20,0,"Wednesday, 15 March, 2023",WED,14
13990,0,2851,134,4989,130,130,Cash,Delivered,30,0,"Thursday, 16 March, 2023",THU,13
14021,0,1112,134,4133,135,135,Cash,Delivered,20,0,"Thursday, 16 March, 2023",THU,14
14193,0,42,134,4133,250,250,Cash,Delivered,25,0,"Friday, 17 March, 2023",FRI,15
14166,0,5464,138,289,455,455,Cash,Delivered,35,0,"Friday, 17 March, 2023",FRI,14
15424,0,583,142,289,60,60,Cash,Delivered,25,0,"Sunday, 26 March, 2023",SUN,8
14563,0,4269,170,289,360,360,Cash,Delivered,25,10,"Monday, 20 March, 2023",MON,12
14511,0,3470,193,4989,80,80,Online,Delivered,20,0,"Monday, 20 March, 2023",MON,5
14362,1,2373,184,227,760,760,Cash,Delivered,20,0,"Sunday, 19 March, 2023",SUN,3
14340,0,101,139,3489,24,24,Cash,Delivered,20,0,"Saturday, 18 March, 2023",SAT,16
14363,1,2373,135,227,35,35,Cash,Delivered,20,10,"Sunday, 19 March, 2023",SUN,3
14834,0,3487,143,4739,360,360,Cash,Delivered,35,0,"Wednesday, 22 March, 2023",WED,7
15978,0,4394,135,4989,230,230,Cash,Delivered,25,0,"Thursday, 30 March, 2023",THU,7
15128,0,2737,182,289,40,40,Cash,Delivered,25,10,"Friday, 24 March, 2023",FRI,13
15696,1,3133,135,4739,400,400,Cash,Delivered,25,0,"Tuesday, 28 March, 2023",TUE,6
14974,0,2241,203,4989,100,100,Cash,Delivered,20,5,"Thursday, 23 March, 2023",THU,12
15697,1,3133,173,4739,240,240,Cash,Delivered,25,10,"Tuesday, 28 March, 2023",TUE,6
15573,0,2856,173,4989,145,145,Cash,Delivered,5,10,"Monday, 27 March, 2023",MON,9
15274,0,3486,182,1054,100,100,Cash,Delivered,25,10,"Saturday, 25 March, 2023",SAT,11
16530,0,1896,197,4133,45,45,Cash,Delivered,25,10,"Sunday, 2 April, 2023",SUN,15
16122,0,3255,200,4989,160,160,Cash,Delivered,40,0,"Friday, 31 March, 2023",FRI,9
